ZIP Code,Cov C Amount Weighted Avg,Avg Fire Risk Score,Number of Negligible Fire Risk Exposure,Number of Low Fire Risk Exposure,Number of Moderate Fire Risk Exposure,Number of High Fire Risk Exposure,Number of Very High Fire Risk Exposure,Earned Premium 2020,Earned Exposure 2020,Non-CAT Cov A Smoke - Incurred Losses,Non-CAT Cov A Smoke - Number of Claims,Non-CAT Cov C Fire - Incurred Losses,Non-CAT Cov C Fire - Number of Claims,Non-CAT Cov C Smoke - Incurred Losses,Non-CAT Cov C Smoke - Number of Claims,CAT Cov A Smoke - Incurred Losses,CAT Cov A Smoke - Number of Claims,Earned Premium 2021,Earned Exposure 2021
90001,174339.07,0.32,884,407,0,0,0,982193,1291,9320,1,40267,1,5070,1,86803,13,1076066,1345
90002,167880.4,0.33,1270,614,0,0,0,1400005,1884,1686,1,20720,1,542,1,27666,5,1523488,1939
90003,177789.87,0.31,1195,535,1,0,0,1424103,1731,0,0,128964,2,0,0,49203,6,1537173,1769
90004,635509.87,0.45,962,643,56,0,0,3992219,1661,0,0,0,0,0,0,5186,1,4428387,1675
90005,852256.91,0.44,224,127,16,0,0,1263229,368,0,0,0,0,0,0,0,0,1377640,379
90006,316286.33,0.36,220,121,1,0,0,428828,341,0,0,136044,3,0,0,0,0,482004,358
90007,302147.2,0.32,236,112,0,0,0,443128,348,0,0,0,0,0,0,5392,1,477398,353
90008,360656.55,0.43,1138,838,3,0,0,2858538,1980,0,0,816042,3,0,0,0,0,3067919,1997
90010,480030.4,0.3,0,0,0,0,0,274,0,0,0,0,0,0,0,0,0,1660,2
90011,200320.99,0.35,1103,590,0,0,0,1469268,1694,0,0,106449,4,0,0,44283,5,1617707,1763
90012,271904.32,1.03,35,47,14,12,0,106512,108,0,0,0,0,0,0,0,0,129210,122
90013,146250.0,0.0,1,0,0,0,0,540,1,0,0,0,0,0,0,0,0,1966,3
90014,250000.0,0.0,0,0,0,0,0,94,0,0,0,0,0,0,0,0,0,476,1
90015,247434.32,0.4,23,15,0,0,0,43878,38,0,0,0,0,0,0,0,0,49902,39
90016,261367.04,0.36,1492,819,1,0,0,2391487,2312,9320,1,115516,4,0,0,10944,1,2588374,2325
90017,221759.77,0.15,6,1,0,0,0,7000,7,0,0,0,0,0,0,0,0,8382,8
90018,277384.22,0.39,1173,732,2,0,0,2145410,1907,0,0,103326,4,869,1,8769,2,2337223,1932
90019,398605.67,0.37,1718,996,6,0,0,3876878,2720,0,0,58235,2,0,0,0,0,4262858,2759
90020,1338697.36,0.62,176,122,47,0,0,1850338,345,0,0,0,0,0,0,0,0,2095459,356
90021,444785.86,0.21,3,1,0,0,0,3800,4,0,0,0,0,0,0,0,0,4195,4
90022,180711.39,0.31,1442,660,0,0,0,1405475,2102,5004,1,0,0,0,0,32707,15,1570940,2177
